Recipe_Title,Meal,Recipe_Link,Calories,Fat (g),Carbs (g),Protein (g)
Coconut Oatmeal,Breakfast,https://www.allrecipes.com/recipe/72364/healthy-coconut-oatmeal/,379,10,63,12
Mexican Chicken Bake,Dinner,https://www.allrecipes.com/recipe/232326/healthy-mexican-chicken-bake/,321,19,6,32
Lentil Tacos,Dinner,https://www.allrecipes.com/recipe/222610/tasty-lentil-tacos/,304,10,44,9
Pumpkin Cranberry Muffins,Breakfast,https://www.allrecipes.com/recipe/232460/healthy-pumpkin-cranberry-muffins/,149,3,28,3
Lemon Garlic Tilapia,Dinner,https://www.allrecipes.com/recipe/89261/lemon-garlic-tilapia/,142,4,1,23
Protain Waffles,Breakfast,https://www.allrecipes.com/recipe/241252/protein-waffles/,254,9,23,21
Mushroom Soup,Lunch,https://www.allrecipes.com/recipe/78015/asian-mushroom-soup/,192,2,20,24
Vegitarian Quesadillas ,Dinner,https://www.allrecipes.com/recipe/165783/farmers-market-vegetarian-quesadillas/,209,7,37,10
Breakfast Bars,Breakfast,https://www.allrecipes.com/recipe/231925/high-fiber-high-protein-breakfast-bars/,169,8,21,6
Crab Alfredo,Dinner,https://www.allrecipes.com/recipe/140135/crab-alfredo/,649,37,53,28
Tuna Salad,Lunch,https://www.allrecipes.com/recipe/231151/amazingly-good-and-healthy-tuna-salad/,217,6,26,18
Light and Spicy Fish,Lunch,https://www.allrecipes.com/recipe/19487/light-and-spicy-fish/,183,2,4,35
Whole Grain Pancakes,Breakfast,https://www.allrecipes.com/recipe/186802/whole-grain-pancakes/,306,6,53,13
Stuffed Peppers,Dinner,https://www.allrecipes.com/recipe/219447/healthier-stuffed-peppers/,291,11,29,20
Energy Bites,Breakfast,https://www.allrecipes.com/recipe/239969/no-bake-energy-bites/,94,5,11,3
Chicken Leg Quarters,Dinner,https://www.allrecipes.com/recipe/18059/eves-chicken-quarters/,629,37,35,38
Blueberry Bran Muffins,Breakfast,https://www.allrecipes.com/recipe/52635/low-fat-blueberry-bran-muffins/,123,1,28,4
Fish Tacos,Dinner,https://www.allrecipes.com/recipe/233899/healthy-fish-tacos-with-mango-salsa/,324,18,24,19
Avacado Tuna Tapas,Lunch,https://www.allrecipes.com/recipe/139620/avocado-and-tuna-tapas/,294,18,11,24
Creamy Chicken Pasta,Dinner,https://www.allrecipes.com/recipe/223437/healthy-creamy-chicken-and-pasta/,472,15,50,34
Beef and Veggie Stir Fry,Dinner,https://www.allrecipes.com/recipe/214519/asian-beef-and-vegetable-stir-fry/,333,10,35,25
Shepard's Pie with Califlower Mash,Dinner,https://www.allrecipes.com/recipe/275901/healthy-shepherds-pie-with-cauliflower-mash/,266,13,12,28
Zucchini Ravioli,Lunch,https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/,267,18,14,15
Veggie Omlet,Breakfast,https://www.allrecipes.com/recipe/14057/yummy-veggie-omelet/,386,30,9,22
Chicken Honey Nut Stir Fry,Dinner,https://www.allrecipes.com/recipe/15646/chicken-honey-nut-stir-fry/,235,8,13,27
Curried Spinach Soup,Lunch,https://www.allrecipes.com/recipe/81331/curried-spinach-soup/,181,11,18,5
Crunchy Fruit Salad,Lunch,https://www.allrecipes.com/recipe/80744/strawberry-sauced-crunchy-fruit-salad/,535,27,75,6
Broccoli Cheese Bake,Lunch,https://www.allrecipes.com/recipe/245666/healthy-broccoli-cheese-bake/,235,10,26,13
Veggie Bagel Sandwich,Lunch,https://www.allrecipes.com/recipe/75194/fresh-veggie-bagel-sandwich/,331,3,64,14
